team,date,opponent,gf,ga
Arabia Saudita,2026-03-27,Egipto,0,4
Arabia Saudita,2025-12-15,Jordania,0,1
Arabia Saudita,2025-12-11,Palestina,2,1
Arabia Saudita,2025-12-08,Marruecos,0,1
Arabia Saudita,2025-12-05,Comores,3,1
Uruguay,2026-06-15,Arabia Saudita,1,1
Uruguay,2026-03-31,Argelia,0,0
Uruguay,2026-03-27,Inglaterra,1,1
Uruguay,2025-11-18,Estados Unidos,1,5
Uruguay,2025-11-15,México,0,0
Uruguay,2025-10-13,Uzbekistán,2,1
Uruguay,2025-10-10,República Dominicana,1,0
Uruguay,2025-09-09,Chile,0,0
Uruguay,2025-09-04,Perú,3,0
Uruguay,2025-06-10,Venezuela,2,0
España,2026-06-15,Cabo Verde,0,0
España,2026-06-08,Perú,3,1
España,2026-06-04,Irak,1,1
España,2026-03-31,Egipto,0,0
España,2026-03-27,Serbia,3,0
España,2025-11-18,Turquía,2,2
España,2025-11-15,Georgia,4,0
España,2025-10-14,Bulgaria,4,0
España,2025-10-11,Georgia,2,0
España,2025-09-07,Turquía,6,0
Cabo Verde,2026-06-15,España,0,0
Cabo Verde,2026-06-06,Bermudas,3,0
Cabo Verde,2026-05-31,Serbia,3,0
Cabo Verde,2026-03-29,Finlandia,1,1
Cabo Verde,2026-03-26,Chile,2,4
Cabo Verde,2025-11-17,Egipto,1,1
Cabo Verde,2025-11-13,Irán,0,0
Cabo Verde,2025-10-13,Eswatini,3,0
Cabo Verde,2025-10-08,Libia,3,3
Cabo Verde,2025-09-09,Camerún,1,0
Ghana,2026-06-17,Panamá,1,0
Ghana,2026-06-02,Gales,1,1
Ghana,2026-05-22,México,0,2
Ghana,2026-03-30,Alemania,1,2
Ghana,2026-03-27,Austria,1,5
Ghana,2025-11-18,Corea del Sur,0,1
Ghana,2025-11-14,Japón,0,2
Ghana,2025-10-12,Comores,1,0
Ghana,2025-10-08,República Centroafricana,5,0
Ghana,2025-09-08,Mali,1,0
Panamá,2026-06-17,Ghana,0,1
Panamá,2026-06-06,Bosnia y Herzegovina,1,1
Panamá,2026-06-03,República Dominicana,4,2
Panamá,2026-05-31,Brasil,2,6
Panamá,2026-03-31,Sudáfrica,2,1
Panamá,2026-03-27,Sudáfrica,1,1
Panamá,2026-01-22,México,0,1
Panamá,2026-01-18,Bolivia,1,1
Panamá,2025-11-18,El Salvador,3,0
Panamá,2025-11-13,Guatemala,3,2
Irak,2026-06-16,Noruega,1,4
Irak,2026-06-09,Venezuela,0,2
Irak,2026-06-04,España,1,1
Irak,2026-05-29,Andorra,1,0
Irak,2026-03-31,Bolivia,2,1
Irak,2025-12-12,Jordania,0,1
Irak,2025-12-09,Argelia,0,2
Irak,2025-12-06,Sudán,2,0
Irak,2025-12-03,Bahréin,2,1
Irak,2025-11-18,Emiratos Árabes Unidos,2,1
Noruega,2026-06-16,Irak,4,1
Noruega,2026-06-07,Marruecos,1,1
Noruega,2026-06-01,Suecia,3,1
Noruega,2026-03-31,Suiza,0,0
Noruega,2026-03-27,Países Bajos,1,2
Noruega,2025-11-16,Italia,4,1
Noruega,2025-11-13,Estonia,4,1
Noruega,2025-10-14,Nueva Zelanda,1,1
Noruega,2025-10-11,Israel,5,0
Noruega,2025-09-09,Moldavia,11,1
México,2026-06-18,Corea del Sur,1,0
Corea del Sur,2026-06-18,México,0,1
Inglaterra,2026-06-17,Croacia,4,2
Croacia,2026-06-17,Inglaterra,2,4
Chequia,2026-06-18,Sudáfrica,1,1
Sudáfrica,2026-06-18,Chequia,1,1
Suiza,2026-06-18,Bosnia y Herzegovina,4,1
Bosnia y Herzegovina,2026-06-18,Suiza,1,4
Canadá,2026-06-18,Qatar,6,0
Qatar,2026-06-18,Canadá,0,6
Estados Unidos,2026-06-19,Australia,2,0
Australia,2026-06-19,Estados Unidos,0,2
Escocia,2026-06-19,Marruecos,0,1
Marruecos,2026-06-19,Escocia,1,0
Turquía,2026-06-19,Paraguay,0,1
Paraguay,2026-06-19,Turquía,1,0
Brasil,2026-06-19,Haití,3,0
Haití,2026-06-19,Brasil,0,3
Países Bajos,2026-06-20,Suecia,5,1
Suecia,2026-06-20,Países Bajos,1,5
Alemania,2026-06-20,Costa de Marfil,2,1
Costa de Marfil,2026-06-20,Alemania,1,2
Ecuador,2026-06-20,Curazao,0,0
Curazao,2026-06-20,Ecuador,0,0
Túnez,2026-06-20,Japón,0,4
Japón,2026-06-20,Túnez,4,0
Arabia Saudita,2026-06-21,España,0,4
España,2026-06-21,Arabia Saudita,4,0
Cabo Verde,2026-06-21,Uruguay,2,2
Uruguay,2026-06-21,Cabo Verde,2,2
Egipto,2026-06-21,Nueva Zelanda,3,1
Nueva Zelanda,2026-06-21,Egipto,1,3
Irán,2026-06-21,Bélgica,0,0
Bélgica,2026-06-21,Irán,0,0
Portugal,2026-06-23,Uzbekistán,5,0
Uzbekistán,2026-06-23,Portugal,0,5
Argentina,2026-06-22,Austria,2,0
Austria,2026-06-22,Argentina,0,2
Francia,2026-06-22,Irak,3,0
Irak,2026-06-22,Francia,0,3
Noruega,2026-06-22,Senegal,3,2
Senegal,2026-06-22,Noruega,2,3
Argelia,2026-06-22,Jordania,2,1
Jordania,2026-06-22,Argelia,1,2
Inglaterra,2026-06-23,Ghana,0,0
Ghana,2026-06-23,Inglaterra,0,0
Croacia,2026-06-23,Panamá,1,0
Panamá,2026-06-23,Croacia,0,1
Colombia,2026-06-23,RD Congo,1,0
RD Congo,2026-06-23,Colombia,0,1
México,2026-06-24,Chequia,3,0
Chequia,2026-06-24,México,0,3
Sudáfrica,2026-06-24,Corea del Sur,1,0
Corea del Sur,2026-06-24,Sudáfrica,0,1
Brasil,2026-06-24,Escocia,3,0
Escocia,2026-06-24,Brasil,0,3
Marruecos,2026-06-24,Haití,4,2
Haití,2026-06-24,Marruecos,2,4
Australia,2026-06-25,Paraguay,0,0
Paraguay,2026-06-25,Australia,0,0
Suecia,2026-06-25,Japón,1,1
Japón,2026-06-25,Suecia,1,1
Turquía,2026-06-25,Estados Unidos,3,2
Estados Unidos,2026-06-25,Turquía,2,3
Túnez,2026-06-25,Países Bajos,1,3
Países Bajos,2026-06-25,Túnez,3,1
Curazao,2026-06-25,Costa de Marfil,0,2
Costa de Marfil,2026-06-25,Curazao,2,0
Ecuador,2026-06-25,Alemania,2,1
Alemania,2026-06-25,Ecuador,1,2
Irán,2026-06-26,Egipto,1,1
Egipto,2026-06-26,Irán,1,1
Bélgica,2026-06-26,Nueva Zelanda,5,1
Nueva Zelanda,2026-06-26,Bélgica,1,5
Cabo Verde,2026-06-26,Arabia Saudita,0,0
Arabia Saudita,2026-06-26,Cabo Verde,0,0
España,2026-06-26,Uruguay,1,0
Uruguay,2026-06-26,España,0,1
Noruega,2026-06-26,Francia,1,4
Francia,2026-06-26,Noruega,4,1
Senegal,2026-06-26,Irak,5,0
Irak,2026-06-26,Senegal,0,5
Panamá,2026-06-27,Inglaterra,0,2
Inglaterra,2026-06-27,Panamá,2,0
Ghana,2026-06-27,Croacia,1,2
Croacia,2026-06-27,Ghana,2,1
